director,mean_gross,mean_budget,number_of_movies
Brandon Camp,22927390,1.8e+07,2
Brandon Nutt,NaN,NaN,1
Brandon Vietti,NaN,NaN,1
Breck Eisner,39103378,2e+07,1
"Brendan Malloy,Emmett Malloy",13903262,1.1e+07,1
Brent Maddock,NaN,NaN,1
Brett Morgen,176545,NaN,1
Brett Ratner,118533840.5,101375000,8
Brett Simmons,NaN,NaN,2
Brett Simon,NaN,11500000,2
Brian A Miller,NaN,1.8e+07,1
Brian Baugh,3773863,1e+06,2
Brian Clyde,NaN,NaN,1
Brian Crano,NaN,2e+06,2
Brian Dannelly,22930,NaN,1
Brian De Palma,11291706,27500000,2
Brian Falk,NaN,NaN,1
Brian Goodman,NaN,NaN,1
Brian Hecker,53760,2e+06,1
Brian Helgeland,52915018.6666667,47666666.6666667,3
Brian Herzlinger,NaN,8e+06,1
"Brian Hooks,Deon Taylor",NaN,3e+06,1
Brian Ivie,NaN,NaN,1
Brian King,NaN,NaN,1
"Brian Klugman,Lee Sternthal",11434867,6e+06,1
Brian Knappenberger,48911,NaN,2
"Brian Koppelman,David Levien",7996484,1.5e+07,2
Brian Levant,55738101.5,38750000,5
Brian Pelletier,NaN,NaN,1
Brian Percival,21483154,1.9e+07,2
Brian Pimental,NaN,NaN,1
Brian Pulido,NaN,NaN,1
Brian Robbins,52361563,48500000,6
Brian Sloan,NaN,NaN,1
Brian Smith,NaN,NaN,1
Brian Spitz,NaN,NaN,1
Brin Hill,NaN,1e+06,1
Brooks Branch,28943,2500000,1
Bruce Beresford,539896,2.5e+07,3
Bruce Branit,NaN,2500,1
Bruce Campbell,173066,1500000,2
"Bruce Gowers,David Mallet",NaN,5e+06,1
Bruce Hendricks,42220854.5,7e+06,2
Bruce Hunt,14888028,3e+07,1
Bruce McCulloch,13973532,2.5e+07,1
Bruce Paltrow,4734235,1.5e+07,1
Bruce Robinson,13100042,4.5e+07,2
Bruce Weber,NaN,NaN,1
Bruno Barreto,15589458,3e+07,1
Bryan Barber,12549485,1.5e+07,1
Bryan Bertino,52534295,1e+07,2
Bryan Buckley,NaN,NaN,1
Bryan Darling,NaN,NaN,1
Bryan Goluboff,NaN,NaN,1
Bryan Gunnar Cole,13800,2e+06,1
Bryan H. Carroll,NaN,NaN,1
Bryan Michael Stoller,NaN,6e+06,1
Bryan Singer,159080370.166667,1.44e+08,6
Bryce Dallas Howard,NaN,1e+06,1
Bryce Wagoner,NaN,4e+05,1
Buddy Giovinazzo,NaN,4e+06,1
Burr Steers,47643393.5,3.2e+07,2
"Byron Howard,Chris Williams",114053579,1.5e+08,1
C. Jay Cox,557271.666666667,733333.333333333,3
C.B. Harding,8074933,NaN,1
C.J. Hunt,NaN,NaN,1
Cal Brunker,57011847,4e+07,1
Callie Khouri,45127693.5,24500000,2
Cam Archer,9089,83833.3333333333,3
Cameron Crowe,33859360,58500000,4
Campbell Scott,1310368,NaN,1
"Carl Deal,Tia Lessin",519981,9e+05,1
Carl Franklin,41117920.3333333,47333333.3333333,3
Carl Rinsch,38297305,1.75e+08,2
Carlene Cordova,NaN,NaN,1
Carlos Brooks,7395,NaN,2
Carlos Portugal,NaN,5e+05,1
Carlos Saldanha,156828055.333333,9.1e+07,3
"Carlos Saldanha,Mike Thurmeier",196573705,9e+07,1
Carroll Ballard,860002,1.2e+07,1
Carter,NaN,1500000,2
Carter Smith,17427926,8e+06,2
"Cary Howe,Tony Kandah",NaN,1250000,1
Cary Joji Fukunaga,2534351,NaN,1
Caryn Waechter,NaN,1e+06,1
Casey Affleck,408719,NaN,1
Casey La Scala,3140616.5,NaN,2
Casper Andreas,20398.5,125000,7
"Casper Andreas,Fred M. Caruso",22346,NaN,1
Catherine Cyran,NaN,NaN,2
Catherine Hardwicke,56465619.8,27100000,5
"Cathy Malkasian,Jeff McGrath",39880476,2.5e+07,1
Caveh Zahedi,112874,NaN,1
Cecilia Miniucchi,NaN,NaN,1
Cédric Klapisch,335430,NaN,1
Chad Ahrendt,NaN,NaN,1
Chad Feehan,NaN,NaN,1
Chad Freidrichs,44683,NaN,1
Chad Mallam,NaN,NaN,1
"Chad Stahelski,David Leitch",42996986,2e+07,1
Chadd Harbold,NaN,NaN,1
Chan-wook Park,1702277,1.2e+07,2
Chandler Tuttle,NaN,NaN,2
Charles Band,NaN,NaN,1
Charles de Lauzirika,NaN,NaN,1
Charles Ferguson,2871009.5,2e+06,2
"Charles Guard,Thomas Guard",28573173,NaN,1
Charles Herman-Wurmfeld,3732789,925000,4
Charles Martin Smith,57149586.5,36500000,2
Charles Matthau,NaN,NaN,1
Charles Oliver,5109,NaN,1
Charles Poekel,NaN,NaN,1
Charles Robert Carner,4131640,7500000,1
Charles Shyer,13395939,6e+07,1
Charles Stone III,39099232,2.5e+07,2
Charles Sturridge,651365,NaN,1
Charles Winkler,NaN,NaN,1
Charles Yi,NaN,8000,1
Charles-Olivier Michaud,NaN,NaN,1
Charlie Kaufman,3081925,2.1e+07,1
Charlie McDowell,511635,1e+05,1
Charlie Stratton,420266,NaN,1
Cheryl Hines,25137,NaN,1
Chiara Clemente,NaN,NaN,1
Chris Angel,NaN,NaN,1
Chris Bell,307811,NaN,1
Chris Brinker,NaN,NaN,1
"Chris Buck,Jennifer Lee",400736600,1.5e+08,2
"Chris Butler,Sam Fell",55994557,6e+07,1
Chris Carter,20981633,3e+07,1
Chris Chow,NaN,NaN,2
Chris Columbus,142432335.4,75600000,5
Chris Cullari,NaN,NaN,1
Chris D'Arienzo,NaN,NaN,1
Chris Eigeman,NaN,5e+05,2
Chris Eska,74494,35000,1
Chris Evans,37047,NaN,2
Chris Eyre,29604,NaN,1
Chris Fisher,181,4e+06,2
Chris Gorak,10745803.5,3e+07,4
"Chris Hegedus,Jehane Noujaim",1280975,NaN,1
Chris J. Ford,2359,NaN,1
Chris Kentis,30500882,5e+05,2
Chris Liliedahl,NaN,18000,1
Chris Malloy,29084,NaN,1
Chris Mason Johnson,16812.6666666667,250000,3
Chris Messina,NaN,NaN,1
Chris Miller,149234747,1.3e+08,2
"Chris Miller,Raman Hui",320706665,1.6e+08,1
Chris Moore,NaN,6e+06,1
Chris Nelson,NaN,NaN,1
Chris Paine,1677838,1e+06,1
"Chris Renaud,Kyle Balda",213949505,7e+07,1
Chris Robinson,21160089,NaN,1
Chris Rock,25205343.6666667,23600000,3
Chris Russell,NaN,NaN,1
Chris Shadley,NaN,2e+06,1
Chris Sivertson,7233485,1.2e+07,1
Chris Smith,46964,NaN,1
Chris Stokes,40066497,8e+06,1
Chris Terrio,1158405,NaN,2
Chris Wedge,107515297,1e+08,1
"Chris Wedge,Carlos Saldanha",128200012,7.5e+07,1
Chris Weitz,122820490.666667,8e+07,3
"Chris Weitz,Paul Weitz",64172251,3e+07,1
Christian Alvart,13248477,2.7e+07,1
Christian Camargo,6003,NaN,1
Christian Charles,11431,NaN,2
Christian Duguay,30199105,22666666.6666667,3
Christian E. Christiansen,18652173,11500000,2
Christina Choe,NaN,NaN,1
Christine Jeffs,12055108,8e+06,1
"Christoph Baaden,Marcie Hume",NaN,NaN,1
"Christopher Berkeley,Lauren Montgomery",NaN,3500000,1
"Christopher Bird,Kevin Brownlow",NaN,NaN,1
Christopher Denham,NaN,NaN,1
Christopher Dillon Quinn,NaN,NaN,1
"Christopher Dillon Quinn,Tommy Walker",275736,NaN,1
Christopher Guest,12081637,9e+06,2
Christopher Hines,NaN,NaN,1
Christopher Kenneally,28592,NaN,1
Christopher Landon,32453345,5e+06,3
Christopher Long,213621,NaN,1
Christopher McQuarrie,43040749.5,34250000,2
Christopher Munch,14923,NaN,2
Christopher N. Rowley,488393,NaN,1
Christopher Neil,NaN,5e+06,1
Christopher Nolan,226653447,125625000,8
Christopher Spencer,59696176,2.2e+07,1
Chuck O'Neil,NaN,NaN,1
Chuck Parello,5708,NaN,1
Chuck Patton,NaN,NaN,1
Chuck Russell,59857924,5e+07,2
Chuck Workman,15528,813505,1
Ciarán Foy,27736779,1e+07,1
