director,mean_gross,mean_budget,number_of_movies
Joel Hopkins,14879423,NaN,2
Joel Schumacher,17041303.625,27714285.7142857,8
Joel Silverman,NaN,5e+06,1
Joel Soisson,NaN,NaN,1
Joel Zwick,144775991.5,14166666.6666667,3
Joey Lauren Adams,117560,6e+06,1
Joey Stewart,NaN,1e+06,1
Joey Sylvester,NaN,2e+06,1
Joey Travolta,NaN,NaN,1
Johan Renck,22153,3e+06,1
Johanna Hamilton,NaN,NaN,1
John A. Davis,54527053.5,4e+07,2
John Asher,35657,NaN,1
John August,62745,NaN,1
"John Blush,Greg McLean",7711,NaN,1
John Bonito,18843314,2e+07,2
John Boorman,13491653,1.8e+07,1
"John Bruno,Ray Quint",149879,NaN,1
John Cameron Mitchell,2490899.66666667,5333333.33333333,3
John Carney,16168741,8e+06,1
John Carpenter,8434601,1.9e+07,2
John Cosgrove,NaN,5e+06,1
John Curran,3960419.66666667,14800000,3
John Dahl,11522178.3333333,35666666.6666667,3
John Doyle,1553,1e+07,2
"John Eng,Norton Virgien",39399750,2.5e+07,1
John Erick Dowdle,28824100.3333333,9e+06,4
John Eyres,NaN,5e+06,1
John G. Young,NaN,NaN,1
John Gatins,32701088,3.2e+07,1
John Glenn,NaN,NaN,1
John Gray,NaN,NaN,1
John Gulager,370904,4100000,2
John Hamburg,79601787.5,4.1e+07,2
John Herzfeld,24375436,22750000,4
John Hillcoat,18726991.5,25500000,2
John Hindman,25589,NaN,1
John Huddles,NaN,NaN,2
John Hyams,5247,11500000,1
John Kafka,NaN,5e+06,1
John Kaye,NaN,2e+07,1
John Krasinski,27935,NaN,2
John Krokidas,1029949,NaN,2
"John Lasseter,Brad Lewis",191450875,2e+08,1
John Lee Hancock,104110660.2,45200000,5
John Luessenhop,46039488,2e+07,2
John Madden,18075283.5714286,27400000,7
John Magary,NaN,NaN,1
John Malkovich,2374732,NaN,1
"John Maloof,Charlie Siskel",1509131,NaN,2
John Maybury,6301131,2.9e+07,1
John McCrite,NaN,NaN,1
John McTiernan,22763331,6e+07,2
"John Mitchell,Jeremy Kipp Walker",15943,NaN,1
John Moore,48543168.2,47400000,5
John Ottman,21468807,1.4e+07,1
John Pasquin,35621538.5,41500000,2
John Patrick Shanley,33422556,2e+07,2
John Pogue,8496112,2100000,2
John Polson,39830795,19250000,4
John Putch,3333823,9e+06,3
John R. Leonetti,84263837,6500000,2
John Sayles,1241262,3650000,3
John Schlesinger,14983572,2.5e+07,1
John Schultz,26116971.25,30500000,4
John Shepphird,NaN,1200000,1
John Shiban,NaN,NaN,1
John Simpson,NaN,6e+06,1
John Singleton,64591677.75,4.3e+07,4
John Slattery,104401,1e+06,1
John Stainton,28399192,1.3e+07,1
John Stalberg Jr.,82740,1e+06,2
John Stead,NaN,NaN,1
John Stewart Muller,NaN,NaN,2
John Stockwell,16019727.75,20800000,9
John Suits,NaN,NaN,1
John Swanbeck,3150107,NaN,1
John Turturro,3763973,NaN,1
John Walsh,NaN,NaN,1
John Waters,1308326,12500000,2
John Wells,21088731.5,2e+07,4
John Whitesell,47722815.3333333,3.6e+07,4
John Woo,103366150,1e+08,3
Johnny Remo,96734,1e+06,1
Johnny Symons,NaN,NaN,1
Jon Amiel,31111260,6e+07,1
Jon Avnet,28503661,4.5e+07,4
Jon Favreau,160539200.333333,1.02e+08,6
Jon Gunn,352810,2500000,2
"Jon Gunn,Brian Herzlinger",85222,1100,1
"Jon Hurwitz,Hayden Schlossberg",38087366,1.2e+07,2
Jon Kasdan,5530253,6e+06,2
Jon Keeyes,NaN,1e+06,1
Jon Long,NaN,NaN,2
Jon M. Chu,73976165.25,4.9e+07,4
Jon S. Baird,34321,5e+06,1
Jon Shenk,75233,NaN,1
Jon Sherman,NaN,1.5e+07,1
Jon Springer,NaN,2e+05,1
Jon Stewart,3093491,5e+06,1
Jon Turteltaub,117941856.4,93600000,5
Jon Watts,NaN,NaN,1
Jonah Loop,NaN,1e+07,1
Jonas Åkerlund,410241,1.1e+07,2
"Jonas Barnes,Michael Manasseri",NaN,NaN,1
Jonas Elmer,16699684,8e+06,1
Jonas McCord,33565,3e+07,1
Jonas Mekas,NaN,50000,1
Jonas Pate,189332,5100000,1
Jonathan Caouette,592014,218,2
"Jonathan Dayton,Valerie Faris",31212883.5,8e+06,2
Jonathan Demme,23531332.4285714,8e+07,7
Jonathan Frakes,36985501,2.6e+07,1
Jonathan Glatzer,NaN,NaN,1
Jonathan Glazer,3805461,2e+07,2
Jonathan Hensleigh,17434992,22500000,2
Jonathan Karsh,NaN,NaN,1
Jonathan Levine,34591234.75,11550000,5
Jonathan Liebesman,97548894.5,8.9e+07,5
Jonathan Lisecki,NaN,NaN,2
Jonathan Lynn,30238577,1.5e+07,1
Jonathan Meyers,NaN,NaN,1
"Jonathan Milott,Cary Murnion",55749,NaN,1
Jonathan Mostow,88659546.6666667,1.14e+08,3
Jonathan Parker,230600,NaN,1
Jonathan Segal,NaN,NaN,1
Jonathan Whittaker,NaN,NaN,1
Joon-ho Bong,4563029,39200000,1
Jordan Brady,261603,NaN,1
Jordan Hawley,NaN,NaN,1
Jordan Melamed,69716,NaN,1
Jordan Roberts,193571,NaN,3
Jordan Rubin,8163,NaN,1
Jordan Vogt-Roberts,1290312,NaN,1
Jorg Ihle,NaN,4e+06,2
Jorge Ameer,NaN,NaN,1
"Jorge Blanco,Javier Abad",42194060,7e+07,1
Jorge Dorado,NaN,NaN,1
Jorge R. Gutiérrez,50150619,5e+07,1
Jorma Taccone,8460995,1e+07,1
Jose Escamilla,NaN,280000,1
José Padilha,58607007,1e+08,1
Josef Rusnak,NaN,1.4e+07,2
Joseph Ariola,NaN,1200000,2
"Joseph Barbera,Spike Brandt",NaN,NaN,1
Joseph Conti,NaN,50000,1
Joseph Garner,NaN,NaN,2
Joseph Gordon-Levitt,24475193,2001333.33333333,4
Joseph Guzman,NaN,85000,1
Joseph Hahn,NaN,NaN,1
Joseph Infantolino,NaN,NaN,1
Joseph J. Lawson,NaN,NaN,1
Joseph Kahn,21176322,2e+07,3
Joseph Kell,NaN,5e+06,1
Joseph Kosinski,144375103,153333333.333333,3
Joseph Levy,109757,NaN,1
Joseph Ruben,66641205,4.2e+07,1
Josephine Decker,NaN,NaN,1
Josh Boone,62473893.5,1.2e+07,2
Josh C. Waller,3453,NaN,1
Josh Forbes,NaN,NaN,1
"Josh Gordon,Will Speck",72955999,4e+07,2
Josh Oreck,NaN,NaN,1
Josh Radnor,249447.333333333,NaN,3
Josh Schwartz,9402410,1.4e+07,1
Josh Shelov,NaN,NaN,1
Josh Sternfeld,319228,NaN,1
Josh Stolberg,NaN,NaN,1
Josh Trank,60343358.5,6.6e+07,2
Joshua Bevier,NaN,NaN,1
Joshua Leonard,NaN,NaN,2
Joshua Marston,119683,NaN,1
Joshua Michael Stern,16200901.5,16500000,3
Joshua Safdie,7720,NaN,1
Joshua Sanchez,NaN,2e+05,1
Joshua Seftel,578527,1e+07,2
Joshua Tickell,173783,2500000,1
Joss Whedon,169569795,1e+08,4
Juan Carlos Fresnadillo,64727,1.3e+07,1
Judd Apatow,94328819.5,41500000,4
"Judith Ehrlich,Rick Goldsmith",453483,NaN,2
Judith Krant,NaN,NaN,1
Julia Loktev,96271.6666666667,NaN,3
Julia Stiles,NaN,NaN,1
Julian Breece,NaN,NaN,1
Julian Farino,364875,NaN,1
Julian Jarrold,1819454,NaN,1
Julian M. Kheel,NaN,NaN,1
Julian Schnabel,2125754.5,NaN,2
Julie Anne Robinson,62933793,2e+07,1
Julie Davis,535096.25,1e+06,4
Julie Taymor,13076112.5,25666666.6666667,4
Julien Hernandez,22770,NaN,2
Julio DePietro,100503,8e+06,2
Jun Falkenstein,45542421,3e+07,1
"Justin Benson,Aaron Moorhead",48949,NaN,2
"Justin Benson,Gregg Bishop",2567,NaN,1
Justin Eugene Evans,NaN,2e+05,1
Justin Lerner,NaN,NaN,1
Justin Lin,98138154.2857143,68821428.5714286,7
Justin Rhodes,NaN,1e+06,1
Justin Theroux,91169,NaN,1
Kaare Andrews,NaN,NaN,2
Karen Hyden,NaN,NaN,1
Karen Leigh Hopkins,NaN,3e+06,1
Karen Moncrieff,17311,7e+06,2
Karey Kirkpatrick,16088610,5.5e+07,1
Karl Kozak,NaN,7e+05,2
Karyn Kusama,11277665.5,2e+07,4
Kasi Lemmons,2579952,NaN,2
Kat Candler,40753,NaN,1
Kat Coiro,20186,930000,3
Kate Barker-Froyland,20200,6e+06,1
"Kate Davis,David Heilbroner",127940,NaN,1
Katherine Dieckmann,79418.5,5e+06,2
"Katherine Fairfax Wright,Malika Zouhali-Worrall",8941,NaN,1
Katherine Linton,NaN,NaN,2
Kathleen Slattery-Moschkau,NaN,NaN,1
Kathryn Bigelow,36673003.75,42750000,4
Kathy Huang,NaN,NaN,1
Kathy Lindboe,NaN,NaN,1
Katie Aselton,8300,NaN,2
Keanu Reeves,61054,2.5e+07,1
Keegan Wilcox,NaN,NaN,1
Keenen Ivory Wayans,88919697,41250000,4
"Keith Fulton,Louis Pepe",34514,NaN,1
Keith Gordon,331937,8250000,2
Keith Hartman,NaN,NaN,1
Keith Melton,NaN,4e+06,1
Keith Samples,NaN,2500000,2
Kelley Cauthen,NaN,1e+06,1
"Kelly Asbury,Lorna Cook",73215310,8e+07,1
Kelly Reichardt,766261.25,2e+05,4
"Kemp Curly,Kevin Harrison",739690,NaN,1
Ken Barbet,NaN,1e+06,1
"Ken Burns,Sarah Burns",273747,NaN,1
Ken Kwapis,49216905.75,3.5e+07,4
Ken Scott,10214013,3.5e+07,1
Kenichi Shimizu,NaN,NaN,1
Kenn Navarro,NaN,NaN,1
Kenneth Bowser,259362,NaN,1
Kenneth Branagh,77302361,1.05e+08,3
Kenneth Cran,NaN,NaN,1
Kenneth Lonergan,4613385,7600000,4
Kenneth Thomas,NaN,NaN,1
Kenny Ortega,81200412.5,35500000,2
Kent Alterman,33472850,5.5e+07,1
Kent Dalian,NaN,2e+05,1
Keoni Waxman,NaN,6500000,3
"Kern Konwiser,David Ren",NaN,NaN,1
Kerry Conran,37760080,7e+07,1
Kevin Asch,302886,1e+06,1
Kevin Bacon,29690,NaN,1
Kevin Bray,45860039,5.6e+07,1
"Kevin Burns,Steven Smith",NaN,NaN,1
Kevin Carraway,NaN,6e+06,1
Kevin Costner,58328680,2.2e+07,1
"Kevin Finn,James Rolfe",NaN,325927,1
Kevin Fitzgerald,11255,NaN,2
Kevin Fritz,NaN,2000,1
Kevin Heffernan,41588,NaN,1
"Kevin Hooks,Brad Turner",NaN,NaN,1
Kevin Johnson,NaN,NaN,1
Kevin Lima,127706877,8.5e+07,1
Kevin Macdonald,19285301,2.5e+07,3
Kevin Munroe,18833101.3333333,24666666.6666667,3
Kevin Reynolds,14732623,NaN,1
Kevin Rodney Sullivan,67962333,3.5e+07,1
Kevin Smith,25079810,18250000,8
Kevin Spacey,6144806,2.3e+07,1
Kevin Tancharoen,22452209,1.8e+07,1
"Kevin Tancharoen,Jennifer Arnold",11860839,9e+06,1
Kevin Tenney,NaN,NaN,2
Kevin Willmott,671122,NaN,1
Khalil Sullins,NaN,NaN,1
Kief Davidson,NaN,NaN,1
"Kief Davidson,Daniel Junge",100240,1e+06,2
"Kieran Mulroney,Michele Mulroney",15388,NaN,2
Kieth Merrill,NaN,2e+06,1
Kim Bass,NaN,NaN,1
Kim Rocco Shields,NaN,NaN,2
Kimberly Peirce,23244733.25,21750000,4
Kirby Dick,173297.5,NaN,3
Kirk De Micco,30105968,3.7e+07,1
"Kirk De Micco,Chris Sanders",187165546,1.35e+08,1
Kirk Jones,24978908.5,30500000,2
"Kirk Kelley,Kameron Gates",NaN,NaN,1
Kirsten Sheridan,31655091,3e+07,1
Kit Ryan,NaN,NaN,2
Klay Hall,90282580,5e+07,2
Kohl Glass,NaN,350000,1
Kris Isacsson,20035310,9e+06,1
Kristin Hanggi,NaN,NaN,1
Kristopher Belman,944527,NaN,1
Kriv Stenders,23840,NaN,1
Kurt Mattila,NaN,NaN,1
Kurt Wimmer,9845492,2.5e+07,2
Kyle Newman,685484,2900000,3
Kyle Patrick Alvarez,NaN,1e+06,2
Kyle Ruddick,NaN,NaN,1
Lajos Koltai,12406646,NaN,1
Lake Bell,2962542,NaN,1
"Lana Wachowski,Lilly Wachowski",154893859.666667,1.4e+08,3
Lance Bangs,NaN,NaN,2
Lance Catania,NaN,450000,1
Lance Daly,4106,6e+06,1
Lance Hammer,76211,7e+05,1
Lance Mungia,NaN,NaN,1
Lance Rivera,8674887.5,2e+07,2
Lane Nishikawa,142060,3300000,1
Lane Shefter Bishop,NaN,NaN,1
Lara Shapiro,NaN,1e+07,1
Larry Bishop,194287,NaN,2
Larry Charles,47344991.6666667,10250000,3
Larry Clark,221415,2e+06,2
Larry Fessenden,32921,3e+06,2
Larry LaFond,NaN,NaN,1
Larry Silverman,NaN,NaN,1
"Lars Larson,Michael Rivoira",NaN,1200000,1
Lasse Hallström,34653509.4285714,24714285.7142857,8
"Laura Gabbert,Justin Schein",96396,NaN,1
Laura Poitras,2798808,NaN,1
Lauren Greenfield,2401652,1e+06,1
Lauren Himmel,NaN,NaN,2
Lauren Lazin,7707563,NaN,1
Lauren Montgomery,NaN,3500000,4
"Lauren Montgomery,Bruce Timm",NaN,3500000,1
Lauren Palmigiano,NaN,NaN,2
Laurent Bouzereau,NaN,NaN,3
Laurie Collyer,198407,2e+06,1
Lawrence Blume,25163,NaN,1
Lawrence Ferber,NaN,NaN,1
Lawrence Guterman,55192898.5,7.2e+07,2
Lawrence Kasdan,17239310,6.8e+07,2
Lawrence Roeck,NaN,NaN,1
Lawrence Silverstein,NaN,5e+06,2
Lawrence Trilling,NaN,NaN,1
Léa Pool,NaN,2917341.97730956,2
Leah Meyerhoff,NaN,NaN,2
Lee Daniels,47038912.1666667,20625000,6
Lee Friedlander,NaN,NaN,1
Lee Fulkerson,NaN,NaN,1
Lee Hirsch,2825577.66666667,1100000,3
Lee Kirk,5360,NaN,1
Lee Tamahori,68092493.6666667,99666666.6666667,3
Lee Toland Krieger,3094687,NaN,2
Lee Unkrich,414984497,2e+08,1
Leigh Janiak,9168,1e+06,1
"Leila Conners,Nadia Conners",703464,NaN,1
Len Wiseman,76800399.25,76750000,4
Lena Dunham,389804,65000,1
"Leon Gast,Ryan Moore",NaN,NaN,1
Leon Ichaso,7556004,NaN,1
Les Mayfield,9449789.75,2.7e+07,4
Leslye Headland,418268,3e+06,1
Lev L. Spiro,NaN,NaN,1
"Levan Bakhia,Beka Jguburia",NaN,650000,1
Levan Gabriadze,31537320,1e+06,1
Lexi Alexander,7948159,3.5e+07,2
Liam Lynch,8319186,NaN,1
Lian Lunson,1036050,NaN,1
Liev Schreiber,1705595,7e+06,1
Liliana Cavani,NaN,3e+07,1
Lina Esco,NaN,937000,1
Lina Plioplyte,6500,NaN,1
Linas Phillips,NaN,NaN,1
Linda Bloodworth-Thomason,NaN,385000,1
Linda Mendoza,6126237,NaN,1
Lindsay Crystal,NaN,NaN,1
Lior Chefetz,NaN,250000,1
Lisa Azuelos,NaN,1.1e+07,2
Lisa Cholodenko,15089460,3500000,3
"Lisa Immordino Vreeland,Bent-Jorgen Perlmutt",1004821,NaN,1
Lisa Krueger,31844,3e+06,1
Lisandro Alonso,NaN,NaN,1
Liv Corfixen,NaN,NaN,1
Liz Friedlander,34703228,3e+07,1
Lluís Quílez,NaN,NaN,1
"Logan Miller,Noah Miller",NaN,2e+06,1
Lone Scherfig,13766014,1.5e+07,1
Loren Haynes,NaN,NaN,1
Lorene Scafaria,6619173,1e+07,1
"Lorenzo Eduardo,Shia LaBeouf",NaN,7000,1
"Lori Silverbush,Michael Skolnik",NaN,NaN,1
"Lorraine Bracco,Daisy Gili",NaN,NaN,1
Louie Psihoyos,869730,NaN,1
Louis Fox,NaN,NaN,3
Louis Leterrier,79958444,75500000,4
"Louis Leterrier,Corey Yuen",25296447,2.1e+07,1
Louis Morneau,NaN,5e+06,3
Louise Runge,NaN,10000,1
Luc Besson,36917730,3e+07,2
Lucas Martell,NaN,10000,1
"Lucien Castaing-Taylor,Verena Paravel",1092800,NaN,1
Lucky McKee,145540,6250000,3
Lucy Mulloy,65233,NaN,1
"Lucy Phillips,Glen Scantlebury",NaN,5e+05,1
Lucy Walker,271323,NaN,1
"Luis Lopez,Clay Tweel",NaN,NaN,1
Luis Mandoki,12053534,3.4e+07,2
Luiso Berdejo,NaN,1.5e+07,2
"Luke Cresswell,Steve McNicholas",NaN,NaN,1
Luke Greenfield,59059325,24666666.6666667,3
Luke Korem,NaN,NaN,1
Luke Matheny,NaN,NaN,1
Luke Ricci,899,2e+06,2
"Lyman Dayton,Sam Pillsbury",NaN,NaN,1
Lynn Hershman-Leeson,28811,NaN,1
Lynn Roth,401538,1700000,1
Lynn Shelton,998676.25,125000,4
M. Night Shyamalan,100743537,75833333.3333333,6
Mabrouk El Mechri,3749061,2e+07,1
Mach Tony Kobayashi,NaN,NaN,1
Macky Alston,NaN,NaN,1
Madeleine Sackler,51542,NaN,1
Maggie Greenwald,3050934,1800000,2
Maggie Kiley,NaN,NaN,1
Mai Iskander,NaN,2e+05,1
Malcolm D. Lee,28449328.5,3.5e+07,4
"Malcolm D. Lee,David Zucker",32014289,2e+07,1
Malcolm Venville,101882,1.2e+07,2
Malik Bader,NaN,NaN,1
"Manny Rodriguez,Jay Lavender",2820939,NaN,1
"Måns Mårlind,Björn Stein",62321039,4.6e+07,2
Manu Boyer,12737,NaN,1
Manuel Pradal,NaN,7e+06,1
Marc Abraham,4234040,2e+07,1
Marc Erlbaum,NaN,NaN,1
"Marc F. Adler,Jason Maurer",511920,4e+07,1
Marc Forster,59667932.4,58600000,10
"Marc Francis,Nick Francis",93477,NaN,1
"Marc H. Simon,Matthew Makar",23190,NaN,1
Marc Lawrence,59267664.2,5.9e+07,6
Marc Singer,426687,NaN,1
Marc Webb,165758656.666667,145833333.333333,3
Marcel Langenegger,4597760,2.5e+07,1
"Marcel Sarmiento,Gadi Harel",NaN,NaN,2
Marco Kreuzpaintner,214202,1.2e+07,1
Marco Schnabel,32178777,6.2e+07,1
Marcos Efron,NaN,NaN,1
Marcos Siega,1609095.25,13750000,4
Marcus Adams,NaN,NaN,2
Marcus Dunstan,7274226,8e+06,2
Marcus Graves,NaN,NaN,1
Marcus Nispel,29442769.25,44750000,4
Marcus Raboy,32983713,2e+07,1
Margaret Whitton,3819,NaN,1
Maria Beatty,NaN,NaN,1
Maria Maggenti,89417,NaN,2
Marianna Palka,15542,NaN,1
Marilyn Agrelo,8044906,NaN,2
"Marilyn Manson,Nicole McDonald",NaN,NaN,1
Mario Van Peebles,NaN,1.2e+07,1
Marisa Miller Wolfson,NaN,NaN,1
Marius A. Markevicius,133778,5e+05,1
Marjane Satrapi,NaN,NaN,1
Mark A.Z. Dippé,NaN,NaN,1
"Mark A.Z. Dippé,Eondeok Han",NaN,NaN,1
"Mark A.Z. Dippé,Taedong Park",NaN,NaN,1
"Mark Andrews,Brenda Chapman",237282182,1.85e+08,1
"Mark Becker,Jennifer Grausman",NaN,NaN,2
Mark Bessenger,NaN,NaN,1
Mark Blutman,NaN,3e+06,1
Mark C. Andrews,NaN,NaN,1
"Mark Christopher Covino,Jeff Howlett",125856,NaN,1
Mark Cowen,33557433,NaN,1
Mark Decena,22278,NaN,2
Mark Dindal,112339040,1.25e+08,2
Mark Fergus,NaN,8e+06,1
Mark Helfrich,35000629,2.5e+07,1
Mark Herman,9030581,12500000,2
Mark Jonathan Harris,374555,NaN,1
Mark Landsman,143568,NaN,1
Mark Levin,384924,NaN,1
Mark Levinson,869838,NaN,1
Mark Mann,NaN,1700000,1
Mark Monroe,275093,NaN,1
Mark Mori,102378,NaN,1
Mark Mylod,NaN,1.8e+07,1
Mark N. Hopkins,NaN,2e+06,1
Mark Neale,NaN,1e+06,1
"Mark Neveldine,Brian Taylor",28430670.25,34750000,4
Mark Obenhaus,259840,NaN,1
"Mark Osborne,John Stevenson",215395021,1.3e+08,1
Mark Palansky,10011274,1.5e+07,3
Mark Pellington,12356261.3333333,3.2e+07,3
Mark Piznarski,10494147,1.5e+07,1
Mark Raso,NaN,NaN,1
Mark Romanek,31597131,1.2e+07,1
Mark Rosman,33839467.5,22500000,2
Mark Rucker,NaN,NaN,1
Mark Ruffalo,13114,NaN,1
Mark Rydell,63911,NaN,1
Mark Steilen,NaN,8e+06,1
Mark Stetz,NaN,6000,1
Mark Steven Johnson,49634677.3333333,9.4e+07,3
Mark Stouffer,NaN,NaN,1
Mark Tonderai,31607598,6900000,1
Mark Waters,56794357.75,41428571.4285714,8
Mark Webber,18445,1500000,2
Mark Young,NaN,4200000,2
Marshall Lewy,15368,2e+05,1
Martha Coolidge,28165882,NaN,1
Martin Barnewitz,NaN,NaN,1
Martin Brest,5660084,5.4e+07,1
Martin Campbell,75334807,1.08e+08,5
Martin Curland,7013,450000,1
Martin Guigui,NaN,7300000,1
Martin Hynes,NaN,NaN,1
Martin Scorsese,83729188.2222222,107142857.142857,9
"Martin Scorsese,David Tedeschi",NaN,NaN,1
Marty Gross,NaN,NaN,1
Martyn Burke,NaN,1.7e+07,1
Mary Harron,4468203.25,7e+06,4
Mary Lambert,NaN,7e+05,1
Mary Mazzio,NaN,NaN,1
Marya Cohn,5249,NaN,1
Maryam Karimi,NaN,NaN,1
Maryam Keshavarz,439958,NaN,2
Masayuki Ochiai,25926543,8e+06,1
Massy Tadjedin,98986,NaN,1
Mathieu Kassovitz,59588068,4e+07,1
Matt Aselton,102079,NaN,1
"Matt Bettinelli-Olpin,David Bruckner",99770,NaN,1
"Matt Bettinelli-Olpin,Tyler Gillett",15818967,7e+06,1
Matt Cooper,NaN,NaN,1
Matt Gamboa,NaN,NaN,2
Matt Green,NaN,NaN,1
"Matt Maiellaro,Dave Willis",5518918,750000,1
Matt Mulhern,13510,NaN,1
Matt Reeves,100237505.666667,71666666.6666667,3
Matt Riddlehoover,NaN,150000,2
Matt Ross,16017,NaN,1
Matt Russell,NaN,7500000,1
Matt Shakman,NaN,5e+06,1
Matt Sobel,NaN,NaN,1
Matt Tauber,12644,NaN,1
Matt Thompson,NaN,NaN,1
Matt Tyrnauer,1755134,NaN,1
Matt Williams,33771174,1.5e+07,2
Matt Wolf,NaN,NaN,1
"Matthew Aeberhard,Leander Ward",NaN,NaN,1
Matthew Arnold,NaN,NaN,1
Matthew Barney,225041,NaN,1
Matthew Bonifacio,27301,NaN,1
Matthew Chapman,5176,1e+07,1
Matthew Cole Weiss,12762,1700000,1
Matthew Cooke,14014,NaN,1
Matthew Gray Gubler,NaN,NaN,1
Matthew James Clark,NaN,130000,1
Matthew Kohnen,NaN,1e+06,1
Matthew Leutwyler,NaN,NaN,1
Matthew Mishory,NaN,1e+06,1
Matthew O'Callaghan,58336565,5e+07,1
"Matthew O'Callaghan,Todd Wilderman",NaN,NaN,1
Matthew Porterfield,48132,NaN,1
Matthew Ryan Hoge,343816,NaN,1
Matthew Vaughn,77598093,86666666.6666667,3
Matthew Weiner,NaN,NaN,1
Matthijs van Heijningen Jr.,16907450,3.8e+07,1
"Maurizio Benazzo,Nick Day",381225,2e+05,1
Mauro Borrelli,NaN,NaN,1
Max Mayer,2277396,NaN,1
Max Nichols,15600,NaN,1
Max Winkler,21666,NaN,2
Maxim Korostyshevsky,38842,8e+06,1
McG,80048424.5,9.5e+07,6
Megan Griffiths,32853,NaN,2
Megumi Sasaki,194721,NaN,1
Meiert Avis,1046166,9e+06,1
Mel Damski,191875,NaN,1
Mel Gibson,25679576,3.5e+07,2
Mennan Yapo,47852604,2e+07,1
Menno Meyjes,7486906,2.7e+07,2
Meredyth Wilson,NaN,NaN,1
Michael A. Nickles,252,1600000,2
Michael Almereyda,NaN,NaN,1
Michael Apted,21737772,3.8e+07,2
"Michael Apted,Curtis Hanson",6002756,2e+07,1
Michael Barnett,NaN,NaN,1
Michael Baumgarten,NaN,250000,1
Michael Bay,217654244.625,147125000,8
Michael Berry,59306,NaN,1
Michael Brandt,NaN,13500000,1
Michael Bregman,NaN,9e+06,1
Michael Caleo,NaN,4e+06,1
Michael Campus,NaN,NaN,1
Michael Caton-Jones,14142551.5,6.5e+07,2
Michael Clancy,70527,6500000,1
Michael Corrente,200869,5950000,2
Michael Cristofer,16252765,4.2e+07,1
Michael Cuesta,639111.25,5800000,5
Michael D. Akers,NaN,NaN,1
Michael D. Sellers,71904,2500000,1
Michael Damian,NaN,5e+05,1
Michael Davis,12796824,3.9e+07,1
Michael Dowse,5546017.5,2.3e+07,2
"Michael Dunaway,Tara Wood",NaN,NaN,1
Michael Feifer,NaN,NaN,1
Michael Franti,NaN,NaN,1
Michael Grecco,NaN,230000,1
Michael Greenspan,4821,NaN,1
Michael Haneke,1294640,1.5e+07,1
Michael Hoffman,20411116.5,19250000,3
Michael Hurst,NaN,1e+06,1
Michael Ian Black,NaN,NaN,2
Michael J. Bassett,17529157,2e+07,1
Michael J. Gallagher,NaN,NaN,1
Michael J. Saul,NaN,NaN,1
Michael J. Weithorn,85789,NaN,2
Michael Jai White,NaN,3e+06,1
Michael Kang,47111,2500000,4
Michael Katleman,10596100,NaN,1
Michael Keaton,346286,5e+06,2
Michael Keusch,NaN,1.2e+07,3
Michael Knowles,10911,NaN,1
"Michael LaBash,Anthony Leondis",NaN,NaN,1
Michael Lander,NaN,NaN,1
Michael Landon Jr.,379643,2200000,1
Michael Lehmann,40290336,1.7e+07,2
Michael Lembeck,77259336.6666667,30666666.6666667,4
Michael Mann,79663944.5,101750000,4
Michael Mayer,11013863,10750000,2
Michael McCullers,60269340,3e+07,1
Michael Meredith,19348,1e+07,1
Michael Mohan,3755,NaN,1
Michael Moore,44803403,6333333.33333333,4
Michael Morrissey,NaN,NaN,2
Michael O. Sajbel,13391174,2e+07,1
Michael P. DiPaolo,NaN,NaN,1
Michael Patrick King,123983103,82500000,2
Michael Pavone,NaN,5333333.33333333,3
Michael Pellerin,NaN,NaN,2
Michael Polish,5819832,6316666.66666667,6
Michaël R. Roskam,10720322,12600000,1
Michael Radford,3752725,1.8e+07,2
Michael Rapaport,1200046,NaN,1
Michael Rossato-Bennett,150200,6e+05,1
Michael Rymer,30307804,3.5e+07,1
Michael Samonek,NaN,NaN,1
Michael Schroeder,NaN,NaN,1
Michael Schultz,6879730,NaN,1
Michael Showalter,181872,NaN,1
Michael Simon,NaN,NaN,1
"Michael Spierig,Peter Spierig",29975979,2e+07,2
Michael Staininger,NaN,8800000,1
Michael Sucsy,125014030,3e+07,1
Michael Tiddes,17314483,4e+06,1
Michael Tollin,35985688,34500000,2
Michael Traeger,15090,NaN,2
Michael W. Watkins,NaN,NaN,1
Michael Wilson,NaN,2e+05,1
Michael Winnick,NaN,2e+06,2
Michael Winterbottom,4693888,14500000,2
Michaline Babich,NaN,NaN,1
Michel Gondry,26082394.8333333,40750000,7
Michel Orion Scott,155984,160000,1
Michelle MacLaren,NaN,NaN,1
Michelle Pollino,NaN,50000,1
Mick Garris,101107,5e+06,1
Mickey Liddell,13350177,5e+06,1
Miguel Arteta,19906157.3333333,13850000,6
Miguel Sapochnik,13763130,3.2e+07,1
Mikael Håfström,33239881.6,36800000,5
Mike Barker,223144,2e+07,3
Mike Binder,19997673.6666667,12666666.6666667,3
"Mike Birbiglia,Seth Barrish",2263436,NaN,1
Mike Cahill,638135.333333333,1e+05,3
Mike Dacko,NaN,2000,1
Mike Davis,NaN,NaN,1
Mike Disa,10134754,20833333.3333333,3
Mike Elliott,NaN,7e+06,2
Mike Figgis,7576289.66666667,4e+06,3
Mike Flanagan,27689474,5e+06,1
Mike Judge,5626419,8e+06,2
"Mike McCoy,Scott Waugh",70011073,1.2e+07,1
Mike Million,NaN,NaN,2
Mike Mills,4663503.75,3400000,4
