name,ratingValue,date,director,stars,metaScore,review_users,review_critcs,popularity,keywords,genres,contentRating,country,language,budget,opening_week,gross,runtime,color,asp,rating,general_rating_user,contentRatingLevel,year,profit_ratio
High Fidelity ,"7.6 based on 142,924 user ratings",2000-03-31,NA,NA,79,603,173,1,"employer-employee-relationship,store,record-store,vinyl,thirty-something","Comedy,Drama,Music,Romance",Rated R for language and some sexuality,"UK,USA","English,Danish",2e+07,6429107(USA),27277055,113,Color,1.85:1,7.6,142924,R,2000,1.36385275
Pollock ,"7.0 based on 23,002 user ratings",2001-03-23,Ed Harris,"Ed Harris,Marcia Gay Harden,Robert Knott",77,148,115,NA,"painter,life-magazine,drinking,artist,1940s","Biography,Drama",Rated R for language and brief sexuality,USA,English,6e+06,44244(USA),8596914,122,Color,1.85:1,7,23002,R,2001,1.432819
Fantasia 2000 ,"7.3 based on 27,486 user ratings",2000-06-16,"James Algar,Gaëtan Brizzi","James Levine,Steve Martin,Itzhak Perlman",59,187,129,NA,"disney,abstract,ark,piano,fairy-tale","Animation,Family,Fantasy,Music",NA,USA,English,8e+07,£49825(UK),60507228,NA,Color,1.78:1/(highdefinition),7.3,27486,NA,2000,0.75634035
Meet the Parents ,"7.0 based on 260,074 user ratings",2000-10-06,NA,NA,73,507,150,2,"male-nurse,nurse,cat,cia,jewish",Comedy,"Rated PG-13 for sexual content, drug references and language",USA,"English,Thai,Spanish,Hebrew,French",5.5e+07,28623300(USA),166225040,108,Color,1.85:1,7,260074,PG-13,2000,3.02227345454545
Chicken Run ,"7.0 based on 140,252 user ratings",2000-06-23,"Peter Lord,Nick Park","Mel Gibson,Julia Sawalha,Phil Daniels",88,359,187,2,"chicken,farm,escape,rooster,freedom","Animation,Adventure,Comedy,Drama,Family",NA,"UK,USA,France",English,4.5e+07,17506162(USA),106793915,84,Color,1.85:1,7,140252,NA,2000,2.37319811111111
Pitch Black ,"7.1 based on 193,692 user ratings",2000-02-18,David Twohy,"Radha Mitchell,Cole Hauser,Vin Diesel",49,805,214,2,"darkness,eclipse,space,captain,survival","Horror,Sci-Fi","Rated R for sci-fi violence and gore, and for language",USA,"English,Arabic",2.3e+07,13467546(USA),39235088,109,Color,2.35:1,7.1,193692,R,2000,1.70587339130435
Scary Movie ,"6.2 based on 186,905 user ratings",2000-07-07,Keenen Ivory Wayans,"Anna Faris,Jon Abrahams,Marlon Wayans",48,894,95,831,"serial-killer,teenager,masked-killer,parody,first-part",Comedy,"Rated R for strong crude sexual humor, language, drug use and violence",USA,English,1.9e+07,42346669(USA),156997084,88,Color,2.35:1,6.2,186905,R,2000,8.26300442105263
Center Stage ,"6.7 based on 15,795 user ratings",2000-05-12,Nicholas Hytner,"Amanda Schull,Ethan Stiefel,Sascha Radetsky",52,210,68,3,"ballet,dancer,love,dancing,dance","Drama,Music,Romance",Rated PG-13 for language and some sensuality,USA,English,1.8e+07,4604621(USA),17174870,115,Color,2.35:1,6.7,15795,PG-13,2000,0.954159444444444
Before Night Falls ,"7.3 based on 20,825 user ratings",2001-02-23,Julian Schnabel,"Javier Bardem,Johnny Depp,Olatz López Garmendia",85,131,101,NA,"cuban,poet,novelist,gay,cuba","Biography,Drama","Rated R for strong sexual content, some language and brief violence",USA,"English,Spanish,Russian,French",NA,85230(USA),4221817,133,Color,1.85:1,7.3,20825,R,2001,NA
"Me, Myself & Irene ","6.5 based on 185,593 user ratings",2000-06-23,"Bobby Farrelly,Peter Farrelly","Jim Carrey,Renée Zellweger,Anthony Anderson",49,481,155,2,"rhode-island,dissociative-identity-disorder,police,multiple-personality,limousine",Comedy,"Rated R for sexual content, crude humor, strong language and some violence",USA,"English,German",5.1e+07,24209385(USA),90567722,116,Color,1.85:1,6.5,185593,R,2000,1.77583768627451
