actor,gross,budget,num
Barry Pepper,78859030,1.84e+08,7
William H. Macy,204641972,159700000,8
John Ritter,0,0,0
Scott Bakula,0,0,0
Alan Ball,0,0,0
Annette Bening,99393475,131150000,10
Eric Mabius,50740078,4.5e+07,1
Fred Ward,19693891,3.4e+07,1
Eddie Murphy,2121672163,1.387e+09,16
Janet Jackson,238565262,1e+08,3
Larry Miller,140600326,7.7e+07,2
Robin Dunne,0,0,0
Sarah Thompson,0,0,0
Keri Lynn Pratt,0,0,0
Garry Shandling,161310942,1.3e+08,2
Tim Roth,430210499,3.75e+08,7
Richard Herd,0,0,0
Jonathan Lipnicki,64988411,5.2e+07,2
Rollo Weeks,13555988,2.2e+07,1
Richard E. Grant,13555988,2.2e+07,1
Philip Seymour Hoffman,336056979,325500000,15
Rebecca Pidgeon,47239,3.5e+07,1
Ben Chaplin,53666033,95800000,5
Sarah Wynter,16779636,2.8e+07,1
Jason Biggs,368863486,2.03e+08,6
Mena Suvari,15531178,2.5e+07,2
Zak Orth,15464026,2e+07,1
Rupert Everett,54864048,5e+07,2
Freddie Prinze Jr.,308739427,2.77e+08,7
Julia Stiles,245524555,1.27e+08,6
Selma Blair,187300094,1.97e+08,7
Demi Moore,14153515,2.4e+07,3
Eloise Eonnet,0,0,0
Hadrian Dagannaud-Brouard,0,0,0
Sylvester Stallone,601275958,7.23e+08,13
Rachael Leigh Cook,40190782,1.02e+08,4
Miranda Richardson,14967182,4e+07,1
Kim Basinger,279663149,2.99e+08,7
Vincent Perez,6543194,3.4e+07,1
Liam Aiken,6543194,3.4e+07,1
Jennifer Morrison,21468807,1.4e+07,1
Hart Bochner,21468807,1.4e+07,1
Heather Graham,86783103,131500000,7
Casey Affleck,128759907,202500000,11
Luke Wilson,142448861,1.87e+08,11
Hilary Swank,381064825,3.5e+08,12
Chloë Sevigny,16315629,2.4e+07,4
Peter Sarsgaard,468935933,5.18e+08,13
Tom Wilkinson,407696878,273400000,11
Sissy Spacek,113609503,38900000,5
Mark Addy,155659897,2.43e+08,4
Stephen Baldwin,35231365,6e+07,1
Kristen Johnston,35231365,6e+07,1
Joshua Jackson,60933723,2.3e+07,2
Paul Walker,1368067363,8.26e+08,10
Hill Harper,35007180,1.5e+07,1
Richard Speight Jr.,0,0,0
Jeff Witzke,0,0,0
Shelley Berman,0,0,0
Lana Parrilla,0,0,0
Josh Green,85884815,9e+07,1
Oliver Macready,0,0,0
Rene Russo,254988332,309500000,7
Ian Holm,63196616,7e+07,2
Stanley Tucci,126638721,310500000,6
Hope Davis,122620908,1.25e+08,6
Claire Forlani,42736349,5.7e+07,2
Brendon Ryan Barrett,20627372,1.6e+07,1
Chris Klein,35015197,1.12e+08,4
Leelee Sobieski,74069074,109500000,5
Vicellous Shannon,50668906,3.8e+07,1
Deborah Kara Unger,106534621,4.8e+07,2
Cory W. Grant,0,0,0
Simon Woolley,0,0,0
Diane Spodarek,0,0,0
Tim Burton,0,0,0
Henry Selick,0,0,0
Kathleen Gavin,0,0,0
Mike White,82308445,35250000,2
Chris Weitz,1050600,250000,1
Lupe Ontiveros,6895529,3250000,2
Patrick Swayze,0,0,0
Penelope Ann Miller,35374833,1.6e+07,1
Steve Railsback,0,0,0
Carrie Snodgress,0,0,0
Carol Mansell,0,0,0
Lory Cahn,0,0,0
Kurt Fuchel,0,0,0
Jeremy Renner,613652874,5.57e+08,9
Bruce Davison,16929123,1.4e+07,1
Artel Great,0,0,0
Mercedes Kastner,0,0,0
Michelle Horn,0,0,0
Josh Zuckerman,8396942,1.9e+07,1
Jimmy Smits,29374178,4e+07,1
Rufus Sewell,168356935,2.59e+08,6
Wesley Snipes,176640274,1.79e+08,4
Anne Archer,30199105,4e+07,1
Maury Chaykin,37938154,5.8e+07,2
Christine Cavanaugh,76501438,3e+07,1
Elizabeth Daily,87913082,4.1e+07,2
Cheryl Chase,76501438,3e+07,1
Kristin Scott Thomas,21207464,42600000,5
Anne Bancroft,511920,4e+07,1
Antonio Sabato Jr.,0,0,0
Kelly Rutherford,0,0,0
Mark McLachlan,0,0,0
Caitlin Martin,0,0,0
Chris Solari,0,0,0
Amanda Peet,143243353,1.67e+08,6
Brian Van Holt,4142507,3e+06,1
Jonathan Abrahams,4142507,3e+06,1
Jay Harrington,0,0,0
Ravil Isyanov,0,0,0
David Beecroft,0,0,0
Michael Shannon,329223328,3.32e+08,9
Duma Ka Ndlovu,0,0,0
Vusi Mahlasela,0,0,0
Walter Cronkite,0,0,0
Frank Langella,74211372,126500000,5
Lena Olin,40813831,48600000,2
John Hannah,0,0,0
Famke Janssen,51097664,3e+07,1
Peter Stormare,96593900,1.65e+08,2
Bill Sage,0,0,0
Terry Serpico,0,0,0
Nicole Bilderback,0,0,0
Henry O,0,0,0
Pasha D. Lychnikoff,0,0,0
Feihong Yu,0,0,0
Zooey Deschanel,378225264,2.37e+08,9
Will Ferrell,1946149381,1.272e+09,21
Shane Carruth,1264587,64000,3
David Sullivan,849520,14000,2
Casey Gooden,849520,14000,2
Barry McEvoy,75078,1.4e+07,1
Brían F. O'Byrne,75078,1.4e+07,1
Ryan Gosling,313145435,297300000,15
Summer Phoenix,812070,3e+06,2
Peter Meadows,812070,3e+06,2
James Denton,0,0,0
Christina Hendricks,190965,5e+06,3
Anthony LaPaglia,0,0,0
Jessica Simpson,137146600,8.4e+07,4
Dane Cook,308100158,2.14e+08,7
Dax Shepard,156819337,1.1e+08,5
Leonor Varela,227181,7500000,3
Jacob Vargas,227181,7500000,3
Luis Fernando Peña,227181,7500000,3
Dax Miller,0,0,0
Kate Fischer,0,0,0
Duncan Regehr,0,0,0
Julie Hamilton,0,0,0
Christopher Walken,436644771,3.23e+08,9
Alessandro Nivola,38356085,2.3e+07,3
Sharon Stone,70990475,1.94e+08,4
Sam Rockwell,124189520,1.51e+08,8
George Clooney,1525238283,1.131e+09,22
Liv Tyler,291071706,2.46e+08,9
Raquel Castro,50532258,7e+07,2
David Duchovny,75075206,1.63e+08,9
Robin Williams,431628740,4.11e+08,11
Alex Kendrick,79219105,4100000,3
Ken Bevel,102495921,4500000,3
