actor,gross,budget,num
George Lucas,0,0,0
Bette Midler,184051568,203500000,4
Steve Carell,2354659682,1.045e+09,23
Cameron Bright,55154047,73500000,4
Lauren Bacall,5083060,3e+07,2
Debra Messing,172160123,1.27e+08,2
Matthew Goode,41990946,1.26e+08,8
Cary Elwes,22943461,3.7e+07,2
Lynn Collins,80564129,299700000,3
Woody Harrelson,340556037,356900000,13
Lance Acord,0,0,0
K.K. Barrett,0,0,0
Eva Canrera,0,0,0
Luke Mably,0,0,0
Rebecca De Mornay,10411980,1.5e+07,1
Jasper Johal,381225,2e+05,1
Justin Davis,381225,2e+05,1
Swami Krishnanad,381225,2e+05,1
Emilio Echevarría,22406362,1.07e+08,1
Michael 'Lippy' Lipman,0,0,0
Peter Herrmann,0,0,0
Liz Stewart,0,0,0
KaDee Strickland,31526393,2.5e+07,1
Eugene Byrd,31526393,2.5e+07,1
James D'Arcy,41814863,5e+07,1
Chad Michael Murray,51431160,2e+07,1
Jennifer Coolidge,188261961,8e+07,4
Steve Coogan,156420465,2.32e+08,5
Jim Broadbent,70444650,2.1e+08,2
Brad Dourif,34175380,2.9e+07,3
John Waters,34032380,2.4e+07,2
Christopher Kovaleski,66641205,4.2e+07,1
Damien Nguyen,442612,6e+06,1
Bai Ling,442612,6e+06,1
Dang Quoc Thinh Tran,442612,6e+06,1
Charles Jang,66892,3000,1
Jeng-Hua Yu,66892,3000,1
Wang-Thye Lee,66892,3000,1
Ashley Scott,58092976,7.8e+07,2
Megan Fox,967754147,5.53e+08,6
Omar Sharif,67286731,1e+08,1
Zuleikha Robinson,67286731,1e+08,1
Eric Gilliland,0,0,0
Sarah Silverman,259016,8095000,3
Omarion Grandberry,88181053,3.4e+07,2
Raz B,40066497,8e+06,1
Jimmy Fallon,115291001,8e+07,3
Gisele Bündchen,73219932,5e+07,2
Marc Blucas,11012826,34800000,3
Michael Keaton,619949439,3.27e+08,10
Ron Livingston,239419357,131500000,6
Laura Dern,79204378,4.1e+07,4
Peter Krause,2092447,6400000,2
Sam Robards,16702864,1.8e+07,1
Jennifer Beals,16702864,1.8e+07,1
Melissa Lyons,0,0,0
Julie Stevens,0,0,0
Jonathan Jackson,101107,5e+06,1
Barbara Hershey,83675938,1e+07,2
Ellen Barkin,365134,8e+06,1
Stephen Adly Guirgis,0,0,0
Susan Ward,0,0,0
Katie Stuart,0,0,0
Leila Arcieri,0,0,0
Sara Foster,327801,31500000,3
Devon Aoki,581831,49500000,3
Ming Yao,0,0,0
Colin Pine,0,0,0
Shaquille O'Neal,0,0,0
Miranda Otto,40068198,1.1e+08,2
John Stratton,0,0,0
Robert Novotny,0,0,0
Sam Morgan,0,0,0
Brian Chase,0,0,0
Karen O,0,0,0
Nick Zinner,0,0,0
Robert Knepper,0,0,0
Sunny Mabrey,0,0,0
Michelle Williams,336167115,278700000,6
John Diehl,0,0,0
Wendell Pierce,0,0,0
Billy Brown,0,0,0
Richard Burgi,0,0,0
Kelly Carlson,18843314,2e+07,1
Jamie Bell,257706100,4.02e+08,9
Monet Mazur,21176322,4e+07,1
Josh Duhamel,851648357,464500000,7
Christine Taylor,114324072,2e+07,1
Ray Romano,567760846,297500000,5
Hank Azaria,142684685,116500000,2
Nicki Aycox,0,0,0
Michael McMillian,71469,185000,1
Lea Coco,71469,185000,1
Steve Fletcher,71469,185000,1
Jason Behr,110175871,1e+07,1
Samir Khader,0,0,0
Josh Rushing,0,0,0
Rebecca Romijn,14334645,2.5e+07,1
Matt Newton,0,0,0
Michael Lerner,0,0,0
Karen Allen,0,0,0
Greg Kirsch,0,0,0
Renee Patrick,0,0,0
Molly Graham,0,0,0
Arapata McKay,0,0,0
Tsaan Ciqae,0,0,0
Sara Botsford,0,0,0
Billy Drago,0,0,0
Avijit Halder,0,0,0
Shanti Das,0,0,0
Robin Tunney,15801642,2.2e+07,3
Dennis Farina,15941410,30800000,3
Toni Collette,139863676,5.2e+07,5
Chris Isaak,1339668,1.5e+07,1
Rhiana Griffith,0,0,0
Keith David,147256454,1.3e+08,3
John Novak,0,0,0
Wings Hauser,0,0,0
Jimmy Bennett,20916309,4e+07,1
Colton Ford,0,0,0
Chi Chi LaRue,0,0,0
Donna Mears,0,0,0
Bill Farmer,0,0,0
Jay Z,0,0,0
Missy Elliott,0,0,0
Casper Andreas,0,0,0
Christos Klapsis,0,0,0
Virginia Bryan,0,0,0
Anthony Mackie,164196771,173300000,9
Marlee Matlin,0,0,0
John Ross Bowie,0,0,0
Anne Judson-Yager,0,0,0
Bree Turner,88915214,3.8e+07,1
Kevin Cooney,0,0,0
Jody Carter,0,0,0
Jack Manning,0,0,0
Andy Garcia,43593311,103700000,8
Agnes Bruckner,0,0,0
Oliver Tobias,0,0,0
Mike Abraham,0,0,0
Pete Auger,0,0,0
Andrew Breitbart,0,0,0
Brian Herzlinger,85222,1100,1
John August,85222,1100,1
Bryce Johnson,0,0,0
Cole Williams,0,0,0
Rain Phoenix,0,0,0
Frederick Weller,0,0,0
Dominic Chianese,0,0,0
Marianne Faithfull,0,0,0
Bruce Weber,0,0,0
Alexandra Ford,0,0,0
Jim Grollman,0,0,0
Shelby Janes,0,0,0
Dan Aykroyd,212845900,2.4e+08,4
Helen Mirren,415018809,3.67e+08,10
Michael Ealy,181729398,142650000,6
Maura Tierney,14469428,2.6e+07,1
Kaley Cuoco,64460211,2.3e+07,1
Nick Carter,0,0,0
Dylan Fergus,0,0,0
Bryan Kirkwood,0,0,0
Hank Harris,0,0,0
Annie Potts,0,0,0
Kenan Thompson,48114556,2.6e+07,1
Kyla Pratt,48114556,2.6e+07,1
Bryant Davis,0,0,0
Devon Dixon,0,0,0
Javorn Drummond,0,0,0
Robert Rusler,0,0,0
Jennifer Gareis,0,0,0
Fredric Lehne,0,0,0
James Hetfield,0,0,0
Kirk Hammett,0,0,0
Lars Ulrich,0,0,0
Marc Donato,0,0,0
Pascale Bussières,0,0,0
Clarence 'Gatemouth' Brown,0,0,0
Buddy Guy,0,0,0
Solomon Burke,0,0,0
Ashley Ummel,0,0,0
Sarah Ummel,0,0,0
Jack Jozefson,0,0,0
Sam Huntington,2366708,4e+07,2
Mike Erwin,0,0,0
Quran Pender,0,0,0
Jenifer Lewis,0,0,0
Ja Rule,0,0,0
Michael Rispoli,21800302,3e+07,1
Julia Barnett,0,0,0
Trish Goff,0,0,0
Ted Bardy,0,0,0
Jason Winer,0,0,0
Scott Baio,9109322,2e+07,1
Vanessa Angel,9109322,2e+07,1
Marie Edmonds,0,0,0
Ross Stein,0,0,0
Anny Mariano,0,0,0
Judy Marte,0,0,0
Paola Mendoza,0,0,0
Carmine Famiglietti,0,0,0
Michael Aronov,0,0,0
Ida Nowakowska,0,0,0
Agnieszka Wagner,0,0,0
Desmond Askew,0,0,0
Katheryn Winnick,0,0,0
Michael Panes,0,0,0
James Le Gros,233856,5800000,3
Dick Morris,0,0,0
Zell Miller,0,0,0
Ed Koch,0,0,0
Kimberly Elise,80608272,20500000,2
T.D. Jakes,0,0,0
Michael Boatman,0,0,0
Jacqueline Obradors,0,0,0
Stuart Wilson,0,0,0
Tori Amos,0,0,0
Matt Chamberlain,0,0,0
Jon Evans,0,0,0
Tiffany Shepis,0,0,0
Stephen W. Williams,0,0,0
Sammy Kahn,0,0,0
Stephanie Sherrin,0,0,0
Joe Morton,0,0,0
Alexander Chaplin,0,0,0
Jordan Ladd,6174,5e+06,1
Tom McGowan,0,0,0
Michael Paré,0,0,0
Sandra Hess,0,0,0
Fintan McKeown,0,0,0
Dolph Lundgren,5571,29500000,3
Polly Shannon,0,0,0
Donald Burda,0,0,0
Fabian Carrillo,0,0,0
Gary Busey,0,0,0
Joshua Adams,0,0,0
Gionni Carter,0,0,0
Lyric Carter,0,0,0
John Stetz,0,0,0
Regan Thibodeau,0,0,0
Vaughn Armstrong,0,0,0
Richard Arnold,0,0,0
Robert Meyer Burnett,0,0,0
Willie Garson,0,0,0
Misha Collins,0,0,0
Leigh-Allyn Baker,0,0,0
Bas Rutten,0,0,0
Dana Lee,0,0,0
Eleni Asimos,0,0,0
Samuel Child,0,0,0
James Conolly,0,0,0
Nick Whitaker,0,0,0
Chris Kendrick,0,0,0
Nate Bynum,0,0,0
Sarah Brightman,0,0,0
Violet Brightman,0,0,0
Shweta Shetty,0,0,0
Felicity Huffman,27970873,3.1e+07,4
Victor Rasuk,11008432,2.5e+07,1
Owen Kline,7362100,1500000,1
Djimon Hounsou,193777704,3.66e+08,5
Taryn Manning,21835784,3e+07,1
Rick Gonzalez,67253092,3e+07,1
Robert Ri'chard,67253092,3e+07,1
Ellen Page,451281372,195450000,7
Julian Morris,10042266,1e+06,1
Lindy Booth,10042266,1e+06,1
Jared Padalecki,75039454,2e+07,2
Nicholas Hoult,297631115,4.02e+08,4
Ginnifer Goodwin,158544538,6.3e+07,2
Michelle Monaghan,683278845,6.58e+08,13
Conor Donovan,95687,4e+05,1
Jesse Camacho,95687,4e+05,1
Zoe Weizenbaum,95687,4e+05,1
Freddie Highmore,328808285,3.35e+08,4
David Kelly,206456431,1.5e+08,1
David Strathairn,284877411,163500000,4
Diane Ladd,5128124,2.5e+07,1
Iain Rea,5128124,2.5e+07,1
Kevin James,1100573837,7.41e+08,11
Josh Hutcherson,1537620167,6.74e+08,8
Charlie Ray,0,0,0
Bradley Whitford,0,0,0
Shohreh Aghdashloo,112690401,5e+07,2
Daniel Craig,1364715502,1.689e+09,15
Marie-Josée Croze,94758180,1.4e+08,2
Wilson Jermaine Heredia,29077547,4e+07,1
Camilla Belle,208098814,200200000,8
Lucas Black,125142515,1.55e+08,2
Lou Taylor Pucci,1583150,8e+06,2
Elias Koteas,25464480,1e+07,1
David Schwimmer,373119687,2.25e+08,2
Nathan Fillion,77566397,99500000,5
Gina Torres,50671870,8e+07,2
Timothy Treadwell,0,0,0
Amie Huguenard,0,0,0
Werner Herzog,0,0,0
Alex Michaeletos,860002,1.2e+07,1
Elijah Wood,258824487,2.35e+08,6
Eugene Hutz,1705595,7e+06,1
Boris Leskin,1705595,7e+06,1
Andrew Husmann,0,0,0
Aubrey Ankrum,0,0,0
Dana Belben,0,0,0
Jeff Biancalana,0,0,0
Georgie Henley,433323868,4.05e+08,2
William Moseley,291709845,1.8e+08,1
Allison Janney,38745639,38800000,4
Whit Anderson,0,0,0
Stan Kirsch,0,0,0
Jeff Shuter,0,0,0
Peter O'Toole,0,0,0
Bryan Greenberg,868830,2.4e+07,4
Amber Valletta,131762477,1e+08,4
Kate Nauta,43095600,3.2e+07,1
Terrence Howard,426971352,371600000,10
Burt Reynolds,158115031,8.2e+07,1
Donal Logue,48291624,5.8e+07,1
Ziyi Zhang,57010853,8.5e+07,1
Michelle Yeoh,57010853,8.5e+07,1
Garrett Hedlund,494708155,5.9e+08,7
Patrick Warburton,122377082,9.5e+07,4
Shirley MacLaine,123654939,1.65e+08,4
Embeth Davidtz,2678010,1e+06,1
David Kuhn,2678010,1e+06,1
Caveh Zahedi,0,0,0
Christoff Colas,0,0,0
Rebecca Lord,0,0,0
Gary Cole,87341380,2.7e+07,1
Q'orianka Kilcher,12712093,3e+07,1
Christopher Plummer,184877807,169600000,6
Oded Fehr,83349767,7.7e+07,2
Mel Brooks,128200012,7.5e+07,1
Amber Tamblyn,114843921,1.06e+08,5
Alexis Bledel,45590083,56900000,5
Kuno Becker,4280577,1e+07,1
Michael Chiklis,202433514,1.5e+08,3
Michael Pitt,1380616,2e+07,2
Lukas Haas,37664777,6.2e+07,3
Irina Baronova,0,0,0
Kenneth Kynt Bryan,0,0,0
Yvonne Chouteau,0,0,0
Cillian Murphy,120398649,1.66e+08,3
Daniel Johnston,0,0,0
Mabel Johnston,0,0,0
Bill Johnston,0,0,0
AnnaSophia Robb,276096307,1.94e+08,6
Eva Marie Saint,32645546,1.4e+07,1
Brittany Snow,221823407,9.3e+07,3
Max Thieriot,184836653,107900000,4
Michael Kelly,0,0,0
Tess Harper,0,0,0
Elizabeth Perkins,43894863,3e+07,1
Hubert Koundé,0,0,0
Navi Rawat,0,0,0
Krista Allen,0,0,0
Mickey Rourke,473226640,4.82e+08,8
Edgar Ramírez,296570112,2.95e+08,4
Seth MacFarlane,342501865,1.58e+08,3
Alex Borstein,0,0,0
50 Cent,56103141,9e+07,2
Adewale Akinnuoye-Agbaje,30981850,4e+07,1
Nathan Lane,19377727,4.5e+07,1
Jennifer Syme,0,0,0
Greg Freitas,0,0,0
Jonah Bobo,29481490,7.5e+07,2
James Cameron,0,0,0
Anatoly M. Sagalevitch,0,0,0
Genya Chernaiev,0,0,0
Matt Foyer,0,0,0
John Bolen,0,0,0
Ralph Lucas,0,0,0
Ian McNeice,55865715,1e+07,1
Martin Freeman,1454843797,1.13e+09,7
Gael García Bernal,124716593,8.5e+07,4
Sophie Okonedo,27163039,1.42e+08,3
Garry Marshall,135381507,1.5e+08,1
Dave Chappelle,11694528,3e+06,1
Lauryn Hill,11694528,3e+06,1
Aria Wallace,16247775,2.5e+07,1
Ted Danson,1042618,10200000,3
Jason Spevack,42071069,3e+07,1
Eva Green,400484677,4.9e+08,4
Michelle Trachtenberg,16235293,9e+06,1
Kim Cattrall,247966206,1.65e+08,2
Trevor Blumas,0,0,0
Will Yun Lee,156958904,1.63e+08,2
Karl Urban,99644553,1.67e+08,5
Serena Scott Thomas,34636443,5.2e+07,1
Bob Hoskins,24520892,4.5e+07,1
Chris Bauer,0,0,0
Harrison Chad,0,0,0
George Carlin,0,0,0
Brad Garrett,0,0,0
Cheryl Hines,137457799,1.17e+08,3
Drew Carey,0,0,0
Bill Maher,12995673,2500000,1
Inés Sastre,4967910,19200000,2
Emily Deschanel,46363118,2e+07,1
Lucy Lawless,46363118,2e+07,1
Jane Fonda,136104323,99800000,3
Matthew Barney,0,0,0
Shigeru Akahori,0,0,0
Dina Korzun,0,0,0
Darren E. Burrows,0,0,0
Tad Hilgenbrink,0,0,0
Arielle Kebbel,80153508,3.8e+07,2
William Shatner,48472213,4.5e+07,1
Shawn Farmer,0,0,0
Terje Håkonsen,0,0,0
Nick Perata,0,0,0
Elisha Cuthbert,3770358,19700000,4
Louie Leonardo,23406574,2e+07,2
Chad Allen,23406574,2e+07,2
Jack Guzman,23406574,2e+07,2
Anton Newcombe,0,0,0
Courtney Taylor-Taylor,0,0,0
Joel Gion,0,0,0
Johnathon Schaech,0,0,0
Lori Heuring,0,0,0
Robert Englund,0,0,0
Lin Shaye,0,0,0
Giuseppe Andrews,0,0,0
Charles Adler,0,0,0
Wayne Brady,7009668,5600000,1
Traylor Howard,17010646,8.4e+07,1
Portia de Rossi,19294901,3.5e+07,1
Frankie Muniz,23078294,9e+06,1
Tommy the Clown,0,0,0
Larry Berry,0,0,0
Leonard Cohen,0,0,0
Rufus Wainwright,0,0,0
Craig Chester,0,0,0
Malcolm Gets,0,0,0
David Dorfman,0,0,0
Vanessa Ferlito,0,0,0
Rachel Hurd-Wood,32596092,2.8e+07,2
Joe Soares,1523883,1750211,1
Keith Cavill,1523883,1750211,1
Mark Zupan,1523883,1750211,1
Christopher Jacot,0,0,0
Milo Ventimiglia,70313171,3e+07,3
Charles Durning,0,0,0
John Francis Daley,16101109,3e+06,1
Megan Mullally,39260545,51100000,2
Flora Cross,3133373,2.4e+07,2
Kyle Stanger,18081626,2e+07,1
Heather Berman,0,0,0
Emma Therese Biegacki,0,0,0
Eva Carrozza,0,0,0
Kathleen Barr,0,0,0
Lalainia Lindbjerg,0,0,0
Lee Tockar,0,0,0
Tabitha St. Germain,0,0,0
Tom Welling,29511112,1.8e+07,1
Maggie Grace,52737023,4.2e+07,2
Jon Powell,0,0,0
Andreas Wigand,0,0,0
Robin Middleton,0,0,0
Michael Urie,0,0,0
Jeremy Beazlie,0,0,0
Lucas Papaelias,0,0,0
Taylor Handley,7013,450000,1
Dustin Seavey,7013,450000,1
Alison Folland,7013,450000,1
Diego Serrano,0,0,0
Meredith Baxter,0,0,0
Joseph Arthur,0,0,0
Nick Cave,0,0,0
Miguel Ferrer,8326035,3.3e+07,1
Kelli Garner,19118247,4e+07,1
Paget Brewster,0,0,0
Neil Barton,0,0,0
Eric Hoffman,0,0,0
Joe Mantegna,131617,1e+07,1
Dominic Monaghan,14132,1500000,2
Peter Jackson,0,0,0
Hugo Weaving,373303753,3.28e+08,4
Rupert Graves,140993604,1.08e+08,2
Alicia Silverstone,5928,3.2e+07,2
Dominic Scott Kay,0,0,0
Greta Garbo,0,0,0
Aleisha Allen,82301521,3.2e+07,1
Sheetal Sheth,887416,1e+07,1
Carrie Fisher,13002373,2.5e+07,2
Mario Van Peebles,0,0,0
Luis Guzmán,65452312,1e+08,1
Don Rickles,0,0,0
Sylvia Chang,0,0,0
Esai Morales,3333823,1e+07,1
Collin Chou,0,0,0
Jonathan Velasquez,0,0,0
Francisco Pedrasa,0,0,0
Milton Velasquez,0,0,0
Meagan Good,61356221,1.4e+07,1
Steffany Huckaby,0,0,0
Melanie Lewis,0,0,0
Yolanda Pecoraro,0,0,0
Peter Paige,5203,650000,1
Kathy Najimy,5203,650000,1
Anthony Clark,5203,650000,1
Gavin Rossdale,375474,2e+07,1
Abdellatif Kechiche,6364,2e+05,1
Élodie Bouchez,6364,2e+05,1
Tucker Collins,0,0,0
Will O'Connor,0,0,0
C.J. Tywoniak,0,0,0
Jeffrey Chyau,0,0,0
Jade Wu,0,0,0
Olympia Dukakis,150071,5e+05,1
Jim Gaffigan,150071,5e+05,1
Mika Boorem,0,0,0
Yi Ding,0,0,0
Jessica Bohl,0,0,0
Richard Brundage,0,0,0
Keith Herron,0,0,0
Chris Pine,835100445,6.64e+08,9
Cameron Daddo,0,0,0
Nathan Crowley,0,0,0
David Forman,0,0,0
Aimee-Lynn Chadwick,0,0,0
Cory Hardrict,0,0,0
John Keefe,0,0,0
Steve Howey,0,0,0
Sophia Bush,16366370,1e+07,1
Sandy Adell,0,0,0
David M. Ames,0,0,0
John Apple,0,0,0
Michael Cavadias,0,0,0
Louise Devery,0,0,0
Sean Labbe,0,0,0
Chris Corbould,0,0,0
Hugh Bonneville,5654777,2.5e+07,1
Shawn Ashmore,23082703,3.3e+07,2
Kelly Hu,5654777,2.5e+07,1
Yuji Okumoto,0,0,0
Marcus Chong,0,0,0
Tito Ortiz,0,0,0
Katherine Heigl,515174649,3.24e+08,7
Paul Reiser,0,0,0
Yury Tsykun,379122,450000,1
Christopher Lazzaro,0,0,0
Annie Moll,0,0,0
Colton Parsons,0,0,0
Cayden Boyd,39177541,5e+07,1
George Lopez,277293196,1.6e+08,3
Kristin Davis,195619394,2e+08,3
Tzi Ma,0,0,0
Jacqueline Kim,0,0,0
Elaine Kao,0,0,0
Grayson McCouch,0,0,0
Adrian Paul,0,0,0
Amy Locane,0,0,0
Kristen Miller,0,0,0
Allison Lange,0,0,0
Todd Babcock,0,0,0
Dita Von Teese,0,0,0
Salvador Benavides,0,0,0
Mary Burton,0,0,0
John Peterson,0,0,0
Anna Nielsen,0,0,0
John Edwards,0,0,0
Steve Harris,82073939,17500000,2
Tyler Perry,425367409,139500000,8
Diana Agostini,0,0,0
John Alexander,0,0,0
Alexander Barnett,0,0,0
Harlan Ellison,0,0,0
Mark Cotta Vaz,0,0,0
Michael Uslan,0,0,0
Cynthia Nixon,154663391,7.7e+07,3
Andy Comeau,0,0,0
John Heard,0,0,0
Debi Mazar,0,0,0
Justin Chambers,89570,2e+06,2
Stephen Billington,0,0,0
Diane Neal,0,0,0
Lesley Ann Warren,0,0,0
Adam Bloch,0,0,0
Paul Denniston,0,0,0
Jordan-Claire Green,0,0,0
Tom Kemp,0,0,0
Susan Wood,0,0,0
Thora Birch,0,0,0
Toby Stephens,0,0,0
Christien Anholt,0,0,0
Paul Matthew Miller,0,0,0
Kevin Porter,0,0,0
Kurt Carley,0,0,0
Daisy Ang,0,0,0
Bill Buell,39918,7600000,2
Dick Cavett,891997,1e+06,1
John Rhys-Davies,0,0,0
Dylan Neal,0,0,0
Chelan Simmons,0,0,0
Keone Young,0,0,0
Spike Brandt,0,0,0
Tony Cervone,0,0,0
Dylan Purcell,0,0,0
Brandon Henschel,0,0,0
Miles O'Keeffe,0,0,0
Matthew Gray Gubler,1798,4e+06,2
Waris Ahluwalia,0,0,0
Douglas Aibel,0,0,0
Stephanie Leonidas,864959,4e+06,1
Jason Barry,864959,4e+06,1
Rob Brydon,864959,4e+06,1
Jenny McCarthy,4131640,7500000,1
Eddie Kaye Thomas,0,0,0
Carmen Electra,14174654,2.5e+07,1
Ana Claudia Talancón,10018,1e+06,1
Elizabeth Peña,0,0,0
Cory Knauf,0,0,0
Joseph McKelheer,0,0,0
Ben Cross,0,0,0
Ivan Petrushinov,0,0,0
Louis Gossett Jr.,4856482,4e+05,2
Kirk Cameron,33451479,5e+05,1
Brad Johnson,0,0,0
Mark Webber,228550,9170000,3
Dean Bailey,0,0,0
Tamara Davies,0,0,0
John Pyper-Ferguson,0,0,0
Usher Raymond,0,0,0
Emmanuelle Chriqui,100035986,1.1e+08,2
Robert Loggia,0,0,0
Jolene Blalock,1181197,15500000,1
Daniel Patrick Sullivan,0,0,0
Janina Gavankar,0,0,0
Allie Smith,0,0,0
Vanessa Redgrave,54687822,4.6e+07,2
Paul Jennings,0,0,0
Stephan Vladimir Bugaj,0,0,0
Christina Garcia Weiland,0,0,0
Mach Tony Kobayashi,0,0,0
Erika Fay,0,0,0
Gabriel Gutierrez,0,0,0
Michael Carreo,0,0,0
Dan Didio,0,0,0
David S. Goyer,0,0,0
Jim Lee,0,0,0
Kellita Smith,4006906,1.5e+07,1
Lynn Ayala,0,0,0
James Hunter,0,0,0
Wanda Ivey,0,0,0
Seymour Cassel,127144,8e+06,1
Tatiana Abracos,0,0,0
Alison Eastwood,0,0,0
Nicholas Celozzi,0,0,0
Judd Nelson,0,0,0
Chris Gunn,0,0,0
Ami Chorlton,0,0,0
Harmon Walsh,0,0,0
Noelle Reno,0,0,0
Robin Sydney,0,0,0
Ryan Locke,0,0,0
Joel Edgerton,431724410,3.78e+08,7
Sarah-Jane Potts,0,0,0
Casey Kasem,0,0,0
Mindy Cohn,0,0,0
Meat Loaf,0,0,0
Tim Guinee,0,0,0
Orsolya Tóth,0,0,0
Behrouz Vossoughi,0,0,0
Shahrnoush Parsipour,0,0,0
Lee Pace,33643461,5e+07,1
Catinca Untaru,0,0,0
Gerardo Taracena,50859889,4e+07,1
Raoul Max Trujillo,50859889,4e+07,1
Dalia Hernández,50859889,4e+07,1
Austin Nichols,0,0,0
Al Gore,0,0,0
Billy West,0,0,0
George Bush,0,0,0
Sacha Baron Cohen,276719335,9.1e+07,2
Ken Davitian,128505958,1.8e+07,1
Shea Whigham,3668092,1.2e+07,4
Tom Waits,208154,2e+06,2
Audrey Tautou,217536138,1.25e+08,1
Ron Silver,1172769,1.3e+07,1
Jim Dunk,10515579,4e+06,1
Justin Long,272056451,264850000,11
Jonah Hill,1014084909,7.27e+08,12
Blake Lively,242679201,2.93e+08,4
David Alan Basche,31471430,1.5e+07,1
Olivia Thirlby,89803769,1.16e+08,5
Liza Colón-Zayas,31471430,1.5e+07,1
Carlos Sanz,27829874,1.2e+07,1
Joseph Cross,69017065,1.37e+08,3
Shareeka Epps,44492039,40700000,2
Oprah Winfrey,337636727,1.65e+08,3
Panther Bior,0,0,0
John Bul Dau,0,0,0
Ricky Gervais,602997623,3.27e+08,6
Sally Field,182296072,69800000,3
Julianne Nicholson,91632,4800000,2
Abbie Cornish,133987203,1.69e+08,4
Mitchel Musso,73661010,7.5e+07,1
Sam Lerner,73661010,7.5e+07,1
Spencer Locke,73661010,7.5e+07,1
Aaron Russo,61200,1e+06,1
John Turner,61200,1e+06,1
Joe Banister,61200,1e+06,1
Emma Roberts,280272763,1.2e+08,6
Joanna 'JoJo' Levesque,18595716,1.2e+07,1
Sara Paxton,75166923,89450000,6
Timothy Hutton,38418922,49500000,3
Toby Jones,9198401,9.8e+07,3
Rachel Bilson,11616329,20930000,2
Kirby Dick,0,0,0
Kimberly Peirce,0,0,0
Darren Aronofsky,0,0,0
Keke Palmer,42617922,53100000,3
Channing Tatum,1194485391,957800000,17
Jenna Dewan Tatum,65269010,1.2e+07,1
Damaine Radcliff,65269010,1.2e+07,1
Bill Nighy,289769727,3.35e+08,6
Oliver O'Grady,0,0,0
Thomas Doyle,0,0,0
Matthew Fox,185591856,2.6e+08,4
Ralph Nader,0,0,0
Pat Buchanan,0,0,0
Howard Zinn,0,0,0
Maya Rudolph,348561303,214500000,4
Will Arnett,375431188,3.27e+08,4
Paddy Considine,0,0,0
Oscar Isaac,1006423007,3.17e+08,5
Valeriu Pavel Dan,0,0,0
Brandon Routh,206097066,2.75e+08,5
Noam Chomsky,0,0,0
Bill Baird,0,0,0
Flip Benham,0,0,0
L. Scott Caldwell,38432823,3e+07,1
Sophia Myles,321282,1e+08,2
Justin Timberlake,390755855,2.25e+08,6
Zachery Ty Bryan,62494975,8.5e+07,1
Antonio Tarver,70269171,2.4e+07,1
Jennifer Decker,13082288,6e+07,1
Tom Hollander,0,0,0
Laura Ramsey,33687630,2e+07,1
Kristin Chenoweth,106787595,6.9e+07,2
Irrfan Khan,138380944,1.37e+08,3
Vera Farmiga,370378286,218500000,10
Lily Tomlin,27319030,10600000,2
Yaya DaCosta,34703228,3e+07,1
Richard Dreyfuss,102983211,2.18e+08,4
Catalina Sandino Moreno,0,0,0
Ty Burrell,162905449,211800000,3
Brett Chukerman,0,0,0
Aldevina Da Silva,0,0,0
Bill Duke,0,0,0
D.B. Sweeney,0,0,0
Rebecca Moore,0,0,0
Janet Shular,0,0,0
Tim Carter,0,0,0
Paula Patton,304759683,248600000,6
Eric Lively,0,0,0
Erica Durance,0,0,0
Dustin Milligan,18860403,2.5e+07,1
David Wenham,266265923,1.45e+08,2
Michael Peña,165640745,164495000,6
Shannen Fields,10174663,1e+05,1
Jason McLeod,10174663,1e+05,1
John Lennon,0,0,0
Yoko Ono,0,0,0
Stew Albert,0,0,0
David Morrissey,56086184,1.5e+08,3
David Thewlis,94765128,148500000,3
Keith Ferguson,0,0,0
Maya Zapata,0,0,0
Luisa Williams,0,0,0
Josh Philip Weinstein,0,0,0
Gareth Saxe,0,0,0
Lewis Black,393896547,1.95e+08,2
Mike Papantonio,0,0,0
Lou Engle,0,0,0
Becky Fischer,0,0,0
Jesse Metcalfe,41273086,7.1e+07,4
Max Minghella,42853610,6e+07,2
Tom Cavanagh,0,0,0
Samaire Armstrong,40403038,3.7e+07,2
Ellen Connell,0,0,0
Warren Graff,0,0,0
Kenn Navarro,0,0,0
Ana de la Reguera,80197993,3.2e+07,1
Héctor Jiménez,80197993,3.2e+07,1
Tim McGraw,276949084,4.4e+07,2
David Ogden Stiers,0,0,0
Derek Magyar,220151,5e+05,1
George Jonson,220151,5e+05,1
Patrick Bauchau,220151,5e+05,1
Keisha Castle-Hughes,37617947,3e+07,1
Michael Jai White,8691,4500000,1
Scott Adkins,18826526,81500000,2
Nathan Phillips,40891531,5.9e+07,2
Kyle Gass,0,0,0
JR Reed,0,0,0
Paul Newman,0,0,0
Steve Squyres,0,0,0
Rob Manning,0,0,0
Seamus Davey-Fitzpatrick,62720696,2.8e+07,2
Emily Procter,70163652,4e+07,1
René Alvarado,0,0,0
David Berón,0,0,0
Gladise Jiminez,0,0,0
John White,0,0,0
Jessy Schram,0,0,0
Cascy Beddow,0,0,0
Jane Carr,0,0,0
Kelly Chapek,0,0,0
Ryan Simpkins,198407,2e+06,1
Sam Bottoms,198407,2e+06,1
Missy Peregrym,0,0,0
Vanessa Lengies,0,0,0
Li Gong,63482284,1.85e+08,2
David Aaron Baker,14313866,5e+07,2
Sherry Miller,0,0,0
Olivia Wilde,622897022,727300000,12
Nathan Baesel,0,0,0
Angela Goethals,0,0,0
